"Betweenness","BottleNeck","Closeness","ClusteringCoefficient","Degree","DMNC","EcCentricity","EPC","MCC","MNC","Radiality","Stress"
"0.0","1.0","11.08333","1.0","2.0","0.30779","0.25","6.814","2.0","2.0","4.72","0.0"
"0.0","1.0","9.83333","0.0","1.0","0.0","0.25","4.411","1.0","1.0","4.48","0.0"
"2.66667","1.0","8.98333","0.0","2.0","0.0","0.16667","3.997","2.0","1.0","3.88","4.0"
"17.6","2.0","10.48333","0.0","2.0","0.0","0.2","4.972","2.0","1.0","4.48","94.0"
"1.53333","1.0","11.0","0.0","2.0","0.0","0.25","6.428","2.0","1.0","4.72","8.0"
"31.56667","1.0","11.4","0.0","3.0","0.0","0.2","6.57","3.0","1.0","4.64","154.0"
"0.0","1.0","9.65","0.0","1.0","0.0","0.2","4.151","1.0","1.0","4.36","0.0"
"48.0","2.0","10.4","0.0","2.0","0.0","0.2","4.447","2.0","1.0","4.48","124.0"
"0.0","1.0","7.56667","0.0","1.0","0.0","0.16667","2.1","1.0","1.0","3.52","0.0"
"1.92222","1.0","13.16667","0.7","5.0","0.45378","0.25","10.458","18.0","5.0","5.0","10.0"
"0.0","1.0","8.26667","0.0","1.0","0.0","0.16667","3.504","1.0","1.0","3.72","0.0"
"0.0","1.0","8.26667","0.0","1.0","0.0","0.16667","3.222","1.0","1.0","3.72","0.0"
"97.57143","3.0","12.31667","0.1","5.0","0.30779","0.2","7.961","5.0","2.0","4.68","424.0"
"39.70714","7.0","15.5","0.42857","8.0","0.34989","0.33333","11.665","34.0","8.0","5.36","150.0"
"12.65","1.0","11.66667","0.0","2.0","0.0","0.25","6.358","2.0","1.0","4.88","84.0"
"149.34921","6.0","15.66667","0.28571","8.0","0.51861","0.25","11.257","27.0","5.0","5.36","490.0"
"18.59444","1.0","12.58333","0.33333","4.0","0.30898","0.25","8.655","5.0","3.0","4.92","98.0"
"85.20476","5.0","15.5","0.35714","8.0","0.36588","0.25","11.502","29.0","7.0","5.32","270.0"
"0.0","1.0","11.16667","1.0","2.0","0.30779","0.25","6.711","2.0","2.0","4.72","0.0"
"59.9746","11.0","16.16667","0.47222","9.0","0.40573","0.33333","12.15","56.0","9.0","5.44","240.0"
"73.98889","2.0","15.83333","0.42857","8.0","0.43905","0.33333","11.687","37.0","7.0","5.44","250.0"
"102.56508","5.0","15.5","0.42857","8.0","0.43905","0.25","11.532","39.0","7.0","5.32","362.0"
"53.79286","1.0","14.83333","0.57143","7.0","0.43905","0.25","11.35","38.0","7.0","5.24","290.0"
"32.73492","1.0","14.91667","0.47619","7.0","0.47549","0.25","11.214","31.0","6.0","5.28","100.0"
"2.16667","1.0","12.08333","0.66667","3.0","0.30898","0.25","7.763","4.0","3.0","4.88","6.0"
"146.41111","4.0","17.83333","0.33333","12.0","0.3733","0.33333","12.375","81.0","11.0","5.6","498.0"
